PCON24CD,Theme,Title,Value
S14000061,energy,Households off the gas grid,18.6
S14000061,society,Child poverty,19.7
S14000061,society,EU referendum using 2024 consituencies,0.3423110343
S14000061,society,Electorate,76560
S14000061,society,Fish and chip shops,16
S14000061,society,Foodbanks,2
S14000061,society,General Election (notional): 12 December 2019,SNP
S14000061,society,General Election: 4 July 2024,SNP
S14000061,society,Percentage of children affected by two-child limit,6
S14000061,society,Population,112076
S14000061,society,Population: by age,998
S14000061,society,Population: by group,75867
S14000061,society,Post offices,11
S14000061,society,Pubs,157
S14000061,transport,Bus stops,699
S14000061,transport,Bus stops per square km,8.1
S14000061,transport,EV: combined charging availability,616
S14000061,transport,EV: home charging,390
S14000061,transport,EV: workplace charging points,100
S14000061,transport,Rail cancellations,1.9
S14000061,transport,Train stations,1
S14000061,transport,Train stations per square km,0.012
S14000061,transport,Tram and metro stops,
S14000061,transport,Tram and metro stops per square km,
S14000062,economy,ATMs: total,83
S14000062,economy,Average download speeds,71.1
S14000062,economy,Below universal service obligation,1.2
S14000062,economy,Gigabit availability,29
S14000062,economy,Receiving over 30 Mbps,77.1
S14000062,economy,Receiving under 10 Mbps,6.3
S14000062,economy,Superfast availability,88.9
S14000062,economy,Total income: median,26800
S14000062,economy,Total tax amount,265
S14000062,energy,Households off the gas grid,29.1
S14000062,society,Child poverty,23.9
S14000062,society,EU referendum using 2024 consituencies,0.5444720885
S14000062,society,Electorate,71485
S14000062,society,Fish and chip shops,16
S14000062,society,Foodbanks,0
S14000062,society,General Election (notional): 12 December 2019,Con
S14000062,society,General Election: 4 July 2024,SNP
S14000062,society,MPs: Left vs Right,40.098
S14000062,society,Percentage of children affected by two-child limit,8
S14000062,society,Population,97594
S14000062,society,Population: by age,858
S14000062,society,Population: by group,56879
S14000062,society,Post offices,30
S14000062,society,Pubs,41
S14000062,transport,Bus stops,936
S14000062,transport,Bus stops per square km,0.7
S14000062,transport,EV: combined charging availability,437
S14000062,transport,EV: home charging,333
S14000062,transport,EV: workplace charging points,45
S14000062,transport,Rail cancellations,1
S14000062,transport,Train stations,1
S14000062,transport,Train stations per square km,0.001
S14000062,transport,Tram and metro stops,1
S14000062,transport,Tram and metro stops per square km,0
S14000063,economy,ATMs: total,97
S14000063,economy,Average download speeds,182.8
S14000063,economy,Below universal service obligation,0.1
S14000063,economy,Gigabit availability,86.4
S14000063,economy,Receiving over 30 Mbps,88.8
S14000063,economy,Receiving under 10 Mbps,2.8
S14000063,economy,Superfast availability,97.9
S14000063,economy,Total income: median,28000
S14000063,economy,Total tax amount,199
S14000063,energy,Households off the gas grid,5.7
S14000063,society,Child poverty,31
S14000063,society,EU referendum using 2024 consituencies,0.3938743527
S14000063,society,Electorate,70420
S14000063,society,Fish and chip shops,6
S14000063,society,Foodbanks,1
S14000063,society,General Election (notional): 12 December 2019,SNP
S14000063,society,General Election: 4 July 2024,Lab
S14000063,society,Percentage of children affected by two-child limit,11
S14000063,society,Population,93026
S14000063,society,Population: by age,889
S14000063,society,Population: by group,58023
S14000063,society,Post offices,13
S14000063,society,Pubs,33
S14000063,transport,Bus stops,527
S14000063,transport,Bus stops per square km,2.21
S14000063,transport,EV: combined charging availability,846
S14000063,transport,EV: home charging,662
S14000063,transport,EV: workplace charging points,112
S14000063,transport,Rail cancellations,1.8
S14000063,transport,Train stations,7
S14000063,transport,Train stations per square km,0.029
S14000063,transport,Tram and metro stops,
S14000063,transport,Tram and metro stops per square km,
E14001063,economy,ATMs: total,82
E14001063,economy,Average download speeds,189.1
E14001063,economy,Below universal service obligation,0.1
E14001063,economy,Gigabit availability,89.9
E14001063,economy,House prices,370000
E14001063,economy,Receiving over 30 Mbps,91.5
E14001063,economy,Receiving under 10 Mbps,2.7
E14001063,economy,Superfast availability,97.8
E14001063,economy,Total income: median,31400
E14001063,economy,Total tax amount,367
E14001063,energy,Households off the gas grid,9.8
E14001063,environment,Ancient woodland,0.2462
E14001063,environment,Countryside and Rights of Way,2.2679
E14001063,environment,Green belt: percentage,
E14001063,environment,Green belt: total,
E14001063,society,Child poverty,22
E14001063,society,EU referendum using 2024 consituencies,0.5786623568
E14001063,society,Electorate,76765
E14001063,society,Fish and chip shops,10
E14001063,society,Foodbanks,1
E14001063,society,General Election (notional): 12 December 2019,Con
E14001063,society,General Election: 4 July 2024,Lab
E14001063,society,Heritage at Risk: all,3
E14001063,society,Heritage at Risk: archaeology,0
E14001063,society,Heritage at Risk: building or structure,2
E14001063,society,Heritage at Risk: conservation area,0
E14001063,society,Heritage at Risk: place of worship,1
E14001063,society,MPs: Left vs Right,38.425
E14001063,society,Percentage of children affected by two-child limit,8
E14001063,society,Population,119256
E14001063,society,Population: by age,1378
E14001063,society,Population: by group,74896
E14001063,society,Post offices,12
E14001063,society,Pubs,68
E14001063,transport,Bus stops,323
E14001063,transport,Bus stops per square km,5.65
E14001063,transport,Cars or vans by household,89.2
E14001063,transport,EV: combined charging availability,708
E14001063,transport,EV: home charging,483
E14001063,transport,EV: workplace charging points,82
E14001063,transport,Rail cancellations,2.7
E14001063,transport,Train stations,4
E14001063,transport,Train stations per square km,0.07
E14001063,transport,Tram and metro stops,
E14001063,transport,Tram and metro stops per square km,
E14001064,economy,ATMs: total,52
E14001064,economy,Average download speeds,161.6
E14001064,economy,Below universal service obligation,0
E14001064,economy,Gigabit availability,89.9
E14001064,economy,House prices,247000
E14001064,economy,Receiving over 30 Mbps,86.5
E14001064,economy,Receiving under 10 Mbps,3.4
E14001064,economy,Superfast availability,98.6
E14001064,economy,Total income: median,25300
E14001064,economy,Total tax amount,218
E14001064,energy,Households off the gas grid,3.9
E14001064,environment,Ancient woodland,0.5639
E14001064,environment,Countryside and Rights of Way,2.0662
E14001064,environment,Green belt: percentage,57.7
E14001064,environment,Green belt: total,3070
E14001064,society,Child poverty,36.3
E14001064,society,EU referendum using 2024 consituencies,0.6789008945
E14001064,society,Electorate,73122
E14001064,society,Fish and chip shops,13
E14001064,society,Foodbanks,1
E14001064,society,General Election (notional): 12 December 2019,Con
E14001064,society,General Election: 4 July 2024,Con
E14001064,society,Heritage at Risk: all,1
E14001064,society,Heritage at Risk: archaeology,0
E14001064,society,Heritage at Risk: building or structure,0
E14001064,society,Heritage at Risk: conservation area,0
E14001064,society,Heritage at Risk: place of worship,0
E14001064,society,MPs: Left vs Right,73.239
E14001064,society,Percentage of children affected by two-child limit,11
E14001064,society,Population,93720
E14001064,society,Population: by age,923
E14001064,society,Population: by group,53249
E14001064,society,Post offices,10
E14001064,society,Pubs,72
E14001064,transport,Bus stops,589
E14001064,transport,Bus stops per square km,11.04
E14001064,transport,Cars or vans by household,89.1
E14001064,transport,EV: combined charging availability,627
E14001064,transport,EV: home charging,489
E14001064,transport,EV: workplace charging points,116
E14001064,transport,Rail cancellations,0
E14001064,transport,Train stations,
E14001064,transport,Train stations per square km,
E14001064,transport,Tram and metro stops,
E14001064,transport,Tram and metro stops per square km,
S14000064,economy,ATMs: total,74
S14000064,economy,Average download speeds,164
S14000064,economy,Below universal service obligation,0
S14000064,economy,Gigabit availability,90.2
S14000064,economy,Receiving over 30 Mbps,87.3
S14000064,economy,Receiving under 10 Mbps,2.8
S14000064,economy,Superfast availability,99
S14000064,economy,Total income: median,28400
S14000064,economy,Total tax amount,254
S14000064,energy,Households off the gas grid,5.3
S14000064,society,Child poverty,26.6
S14000064,society,EU referendum using 2024 consituencies,0.4405887449
S14000064,society,Electorate,72265
S14000064,society,Fish and chip shops,5
S14000064,society,Foodbanks,2
S14000064,society,General Election (notional): 12 December 2019,SNP
S14000064,society,General Election: 4 July 2024,Lab
S14000064,society,MPs: Left vs Right,41.635
S14000064,society,Percentage of children affected by two-child limit,8
S14000064,society,Population,94391
S14000064,society,Population: by age,898
S14000064,society,Population: by group,57537
S14000064,society,Post offices,15
S14000064,society,Pubs,32
S14000064,transport,Bus stops,562
S14000064,transport,Bus stops per square km,3.34
S14000064,transport,EV: combined charging availability,450
S14000064,transport,EV: home charging,340
S14000064,transport,EV: workplace charging points,48
S14000064,transport,Rail cancellations,1.4
S14000064,transport,Train stations,2
S14000064,transport,Train stations per square km,0.012
S14000064,transport,Tram and metro stops,
S14000064,transport,Tram and metro stops per square km,
E14001065,economy,ATMs: total,59
E14001065,economy,Average download speeds,156.7
E14001065,economy,Below universal service obligation,0
E14001065,economy,Gigabit availability,87.6
E14001065,economy,House prices,435000
E14001065,economy,Receiving over 30 Mbps,89.5
E14001065,economy,Receiving under 10 Mbps,2.3
E14001065,economy,Superfast availability,98.7
E14001065,economy,Total income: median,35200
E14001065,economy,Total tax amount,723
E14001065,energy,Households off the gas grid,7.7
E14001065,environment,Ancient woodland,0.3298
E14001065,environment,Countryside and Rights of Way,0
E14001065,environment,Green belt: percentage,51.1
E14001065,environment,Green belt: total,2600
E14001065,society,Child poverty,14.7
E14001065,society,EU referendum using 2024 consituencies,0.3837696601
E14001065,society,Electorate,73934
E14001065,society,Fish and chip shops,6
E14001065,society,Foodbanks,1
E14001065,society,General Election (notional): 12 December 2019,Con
E14001065,society,General Election: 4 July 2024,Lab
E14001065,society,Heritage at Risk: all,1
E14001065,society,Heritage at Risk: archaeology,0
E14001065,society,Heritage at Risk: building or structure,0
E14001065,society,Heritage at Risk: conservation area,1
E14001065,society,Heritage at Risk: place of worship,0
E14001065,society,MPs: Left vs Right,44.053
E14001065,society,Percentage of children affected by two-child limit,3
E14001065,society,Population,101272
E14001065,society,Population: by age,869
E14001065,society,Population: by group,57493
E14001065,society,Post offices,10
E14001065,society,Pubs,58
E14001065,transport,Bus stops,414
E14001065,transport,Bus stops per square km,8.12
E14001065,transport,Cars or vans by household,90.7
E14001065,transport,EV: combined charging availability,1244
E14001065,transport,EV: home charging,1007
E14001065,transport,EV: workplace charging points,196
E14001065,transport,Rail cancellations,3.8
E14001065,transport,Train stations,3
E14001065,transport,Train stations per square km,0.059
E14001065,transport,Tram and metro stops,3
E14001065,transport,Tram and metro stops per square km,0.06
W07000082,economy,ATMs: total,58
W07000082,economy,Average download speeds,140.7
W07000082,economy,Below universal service obligation,0.2
W07000082,economy,Gigabit availability,87.6
W07000082,economy,House prices,195000
W07000082,economy,Receiving over 30 Mbps,88.6
W07000082,economy,Receiving under 10 Mbps,3.9
W07000082,economy,Superfast availability,97.6
W07000082,economy,Total income: median,26300
W07000082,economy,Total tax amount,233
W07000082,energy,Households off the gas grid,8.8
W07000082,society,Child poverty,21.8
W07000082,society,EU referendum using 2024 consituencies,0.6025197429
W07000082,society,Electorate,75695
W07000082,society,Fish and chip shops,6
W07000082,society,Foodbanks,0
W07000082,society,General Election (notional): 12 December 2019,Lab
W07000082,society,General Election: 4 July 2024,Lab
W07000082,society,MPs: Left vs Right,39.742
W07000082,society,Percentage of children affected by two-child limit,9
W07000082,society,Population,102432
W07000082,society,Population: by age,999
W07000082,society,Population: by group,60909
W07000082,society,Post offices,15
W07000082,society,Pubs,96
W07000082,transport,Bus stops,641
W07000082,transport,Bus stops per square km,3.46
W07000082,transport,Cars or vans by household,89.1
W07000082,transport,EV: combined charging availability,497
W07000082,transport,EV: home charging,373
W07000082,transport,EV: workplace charging points,88
W07000082,transport,Rail cancellations,4.5
W07000082,transport,Train stations,10
W07000082,transport,Train stations per square km,0.054
W07000082,transport,Tram and metro stops,
W07000082,transport,Tram and metro stops per square km,
E14001066,economy,ATMs: total,55
E14001066,economy,Average download speeds,105.7
E14001066,economy,Below universal service obligation,0
E14001066,economy,Gigabit availability,76.2
E14001066,economy,House prices,210000
E14001066,economy,Receiving over 30 Mbps,82
E14001066,economy,Receiving under 10 Mbps,3.3
E14001066,economy,Superfast availability,97.5
E14001066,economy,Total income: median,26300
E14001066,economy,Total tax amount,195
E14001066,energy,Households off the gas grid,3
E14001066,environment,Ancient woodland,0.7388
E14001066,environment,Countryside and Rights of Way,0.0174
E14001066,environment,Green belt: percentage,55.3
E14001066,environment,Green belt: total,6910
E14001066,society,Child poverty,33.7
E14001066,society,EU referendum using 2024 consituencies,0.6527087243
E14001066,society,Electorate,70625
E14001066,society,Fish and chip shops,29
E14001066,society,Foodbanks,0
E14001066,society,General Election (notional): 12 December 2019,Con
E14001066,society,General Election: 4 July 2024,Lab
E14001066,society,Heritage at Risk: all,5
E14001066,society,Heritage at Risk: archaeology,1
E14001066,society,Heritage at Risk: building or structure,4
E14001066,society,Heritage at Risk: conservation area,0
E14001066,society,Heritage at Risk: place of worship,0
E14001066,society,MPs: Left vs Right,39.781
E14001066,society,Percentage of children affected by two-child limit,11
E14001066,society,Population,90793
E14001066,society,Population: by age,908
E14001066,society,Population: by group,53455
E14001066,society,Post offices,18
E14001066,society,Pubs,164
E14001066,transport,Bus stops,838
E14001066,transport,Bus stops per square km,6.71
E14001066,transport,Cars or vans by household,87.1
E14001066,transport,EV: combined charging availability,526
E14001066,transport,EV: home charging,401
E14001066,transport,EV: workplace charging points,78
E14001066,transport,Rail cancellations,4.4
E14001066,transport,Train stations,3
E14001066,transport,Train stations per square km,0.024
E14001066,transport,Tram and metro stops,
E14001066,transport,Tram and metro stops per square km,
S14000065,economy,ATMs: total,81
S14000065,economy,Average download speeds,56.7
S14000065,economy,Below universal service obligation,2.3
S14000065,economy,Gigabit availability,26.4
S14000065,economy,Receiving over 30 Mbps,69.6
S14000065,economy,Receiving under 10 Mbps,9.4
S14000065,economy,Superfast availability,83.9
S14000065,economy,Total income: median,27300
S14000065,economy,Total tax amount,282
S14000065,energy,Households off the gas grid,37.7
S14000065,society,Child poverty,28.7
S14000065,society,EU referendum using 2024 consituencies,0.4521296084
S14000065,society,Electorate,77006
S14000065,society,Fish and chip shops,17
S14000065,society,Foodbanks,0
S14000065,society,General Election (notional): 12 December 2019,SNP
S14000065,society,General Election: 4 July 2024,SNP
S14000065,society,MPs: Left vs Right,27.331
S14000065,society,Percentage of children affected by two-child limit,10
S14000065,society,Population,97402
S14000065,society,Population: by age,762
S14000065,society,Population: by group,54955
S14000065,society,Post offices,28
S14000065,society,Pubs,103
S14000065,transport,Bus stops,1829
S14000065,transport,Bus stops per square km,0.33
S14000065,transport,EV: combined charging availability,1721
S14000065,transport,EV: home charging,1411
S14000065,transport,EV: workplace charging points,162
S14000065,transport,Rail cancellations,1.6
S14000065,transport,Train stations,5
S14000065,transport,Train stations per square km,0.001
S14000065,transport,Tram and metro stops,2
S14000065,transport,Tram and metro stops per square km,0
S14000066,economy,ATMs: total,72
S14000066,economy,Average download speeds,152.1
S14000066,economy,Below universal service obligation,0.3
S14000066,economy,Gigabit availability,74.2
S14000066,economy,Receiving over 30 Mbps,84.2
S14000066,economy,Receiving under 10 Mbps,4.3
S14000066,economy,Superfast availability,94.5
S14000066,economy,Total income: median,27200
S14000066,economy,Total tax amount,251
S14000066,energy,Households off the gas grid,17.6
S14000066,society,Child poverty,27.8
S14000066,society,EU referendum using 2024 consituencies,0.3663648697
S14000066,society,Electorate,76810
S14000066,society,Fish and chip shops,13
S14000066,society,Foodbanks,0
S14000066,society,General Election (notional): 12 December 2019,SNP
S14000066,society,General Election: 4 July 2024,SNP
S14000066,society,MPs: Left vs Right,26.343
S14000066,society,Percentage of children affected by two-child limit,10
S14000066,society,Population,99572
S14000066,society,Population: by age,850
S14000066,society,Population: by group,56767
S14000066,society,Post offices,13
S14000066,society,Pubs,64
S14000066,transport,Bus stops,872
S14000066,transport,Bus stops per square km,2.11
S14000066,transport,EV: combined charging availability,393
S14000066,transport,EV: home charging,264
S14000066,transport,EV: workplace charging points,46
S14000066,transport,Rail cancellations,3
S14000066,transport,Train stations,7
S14000066,transport,Train stations per square km,0.017
S14000066,transport,Tram and metro stops,
S14000066,transport,Tram and metro stops per square km,
S14000067,economy,ATMs: total,77
S14000067,economy,Average download speeds,53.1
S14000067,economy,Below universal service obligation,4.2
S14000067,economy,Gigabit availability,13
S14000067,economy,Receiving over 30 Mbps,68
S14000067,economy,Receiving under 10 Mbps,9.7
S14000067,economy,Superfast availability,82.6
S14000067,economy,Total income: median,28900
S14000067,economy,Total tax amount,267
S14000067,energy,Households off the gas grid,59.7
S14000067,society,Child poverty,23.1
S14000067,society,EU referendum using 2024 consituencies,0.3953574555
S14000067,society,Electorate,71707
S14000067,society,Fish and chip shops,15
S14000067,society,Foodbanks,6
S14000067,society,General Election (notional): 12 December 2019,SNP
S14000067,society,General Election: 4 July 2024,SNP
S14000067,society,MPs: Left vs Right,34.326
S14000067,society,Percentage of children affected by two-child limit,8
S14000067,society,Population,91155
S14000067,society,Population: by age,631
S14000067,society,Population: by group,51280
S14000067,society,Post offices,82
S14000067,society,Pubs,124
S14000067,transport,Bus stops,1510
S14000067,transport,Bus stops per square km,0.17
S14000067,transport,EV: combined charging availability,625
S14000067,transport,EV: home charging,362
S14000067,transport,EV: workplace charging points,96
S14000067,transport,Rail cancellations,2.2
S14000067,transport,Train stations,15
S14000067,transport,Train stations per square km,0.002
S14000067,transport,Tram and metro stops,
S14000067,transport,Tram and metro stops per square km,
E14001067,economy,ATMs: total,27
E14001067,economy,Average download speeds,85.6
E14001067,economy,Below universal service obligation,0.8
E14001067,economy,Gigabit availability,37.2
E14001067,economy,House prices,490000
E14001067,economy,Receiving over 30 Mbps,77.2
E14001067,economy,Receiving under 10 Mbps,4.9
E14001067,economy,Superfast availability,91.7
E14001067,economy,Total income: median,31300
E14001067,economy,Total tax amount,620
E14001067,energy,Households off the gas grid,33.5
E14001067,environment,Ancient woodland,13.1611
E14001067,environment,Countryside and Rights of Way,0.8471
E14001067,environment,Green belt: percentage,0
E14001067,environment,Green belt: total,0
E14001067,society,Child poverty,23.1
E14001067,society,EU referendum using 2024 consituencies,0.4874668692
E14001067,society,Electorate,76974
E14001067,society,Fish and chip shops,11
E14001067,society,Foodbanks,0
E14001067,society,General Election (notional): 12 December 2019,Con
E14001067,society,General Election: 4 July 2024,Con
E14001067,society,Heritage at Risk: all,13
E14001067,society,Heritage at Risk: archaeology,5
E14001067,society,Heritage at Risk: building or structure,2
E14001067,society,Heritage at Risk: conservation area,1
E14001067,society,Heritage at Risk: place of worship,4
E14001067,society,MPs: Left vs Right,69.288
E14001067,society,Percentage of children affected by two-child limit,6
E14001067,society,Population,98053
E14001067,society,Population: by age,699
E14001067,society,Population: by group,51612
E14001067,society,Post offices,40
E14001067,society,Pubs,177
E14001067,transport,Bus stops,1076
E14001067,transport,Bus stops per square km,1.29
E14001067,transport,Cars or vans by household,94.2
E14001067,transport,EV: combined charging availability,1801
E14001067,transport,EV: home charging,1565
E14001067,transport,EV: workplace charging points,149
E14001067,transport,Rail cancellations,2.4
E14001067,transport,Train stations,4
E14001067,transport,Train stations per square km,0.005
E14001067,transport,Tram and metro stops,
E14001067,transport,Tram and metro stops per square km,
E14001068,economy,ATMs: total,67
E14001068,economy,Average download speeds,175.9
E14001068,economy,Below universal service obligation,0
E14001068,economy,Gigabit availability,89.1
E14001068,economy,House prices,175000
E14001068,economy,Receiving over 30 Mbps,89.2
E14001068,economy,Receiving under 10 Mbps,3
E14001068,economy,Superfast availability,98.2
E14001068,economy,Total income: median,24600
E14001068,economy,Total tax amount,180
E14001068,energy,Households off the gas grid,2.8
E14001068,environment,Ancient woodland,1.8983
E14001068,environment,Countryside and Rights of Way,0
E14001068,environment,Green belt: percentage,38.7
E14001068,environment,Green belt: total,3840
E14001068,society,Child poverty,37.6
E14001068,society,EU referendum using 2024 consituencies,0.7080883197
E14001068,society,Electorate,69819
E14001068,society,Fish and chip shops,29
E14001068,society,Foodbanks,4
E14001068,society,General Election (notional): 12 December 2019,Con
E14001068,society,General Election: 4 July 2024,Ref
E14001068,society,Heritage at Risk: all,3
E14001068,society,Heritage at Risk: archaeology,1
E14001068,society,Heritage at Risk: building or structure,0
E14001068,society,Heritage at Risk: conservation area,1
E14001068,society,Heritage at Risk: place of worship,0
E14001068,society,MPs: Left vs Right,68.65
E14001068,society,Percentage of children affected by two-child limit,13
E14001068,society,Population,95883
E14001068,society,Population: by age,960
E14001068,society,Population: by group,56570
E14001068,society,Post offices,13
E14001068,society,Pubs,97
E14001068,transport,Bus stops,616
E14001068,transport,Bus stops per square km,6.2
E14001068,transport,Cars or vans by household,85.4
E14001068,transport,EV: combined charging availability,679
E14001068,transport,EV: home charging,505
E14001068,transport,EV: workplace charging points,126
E14001068,transport,Rail cancellations,1.3
E14001068,transport,Train stations,2
E14001068,transport,Train stations per square km,0.02
E14001068,transport,Tram and metro stops,
E14001068,transport,Tram and metro stops per square km,
E14001069,economy,ATMs: total,75
E14001069,economy,Average download speeds,168.4
E14001069,economy,Below universal service obligation,0.2
E14001069,economy,Gigabit availability,78.6
E14001069,economy,House prices,325000
E14001069,economy,Receiving over 30 Mbps,88.2
E14001069,economy,Receiving under 10 Mbps,3.4
E14001069,economy,Superfast availability,95.8
E14001069,economy,Total income: median,30300
E14001069,economy,Total tax amount,341
E14001069,energy,Households off the gas grid,14.8
E14001069,environment,Ancient woodland,6.9899
E14001069,environment,Countryside and Rights of Way,0.2219
E14001069,environment,Green belt: percentage,
E14001069,environment,Green belt: total,
E14001069,society,Child poverty,30.5
E14001069,society,EU referendum using 2024 consituencies,0.6086468239
E14001069,society,Electorate,73546
E14001069,society,Fish and chip shops,9
E14001069,society,Foodbanks,1
E14001069,society,General Election (notional): 12 December 2019,Con
E14001069,society,General Election: 4 July 2024,Lab
E14001069,society,Heritage at Risk: all,7
E14001069,society,Heritage at Risk: archaeology,4
E14001069,society,Heritage at Risk: building or structure,1
E14001069,society,Heritage at Risk: conservation area,0
E14001069,society,Heritage at Risk: place of worship,2
E14001069,society,MPs: Left vs Right,39.411
E14001069,society,Percentage of children affected by two-child limit,10
E14001069,society,Population,108652
E14001069,society,Population: by age,1278
E14001069,society,Population: by group,65234
E14001069,society,Post offices,19
E14001069,society,Pubs,79
E14001069,transport,Bus stops,569
E14001069,transport,Bus stops per square km,2.52
E14001069,transport,Cars or vans by household,88.6
E14001069,transport,EV: combined charging availability,466
E14001069,transport,EV: home charging,312
E14001069,transport,EV: workplace charging points,44
E14001069,transport,Rail cancellations,1.1
E14001069,transport,Train stations,3
E14001069,transport,Train stations per square km,0.013
E14001069,transport,Tram and metro stops,
E14001069,transport,Tram and metro stops per square km,
E14001070,economy,ATMs: total,96
E14001070,economy,Average download speeds,156.8
E14001070,economy,Below universal service obligation,0
E14001070,economy,Gigabit availability,80.5
E14001070,economy,House prices,197000
E14001070,economy,Receiving over 30 Mbps,89.5
E14001070,economy,Receiving under 10 Mbps,2.4
E14001070,economy,Superfast availability,98.5
E14001070,economy,Total income: median,24900
E14001070,economy,Total tax amount,177
E14001070,energy,Households off the gas grid,3.8
E14001070,environment,Ancient woodland,0.9254
E14001070,environment,Countryside and Rights of Way,0
E14001070,environment,Green belt: percentage,24.3
E14001070,environment,Green belt: total,710
E14001070,society,Child poverty,44.4
E14001070,society,EU referendum using 2024 consituencies,0.6257027312
E14001070,society,Electorate,72278
E14001070,society,Fish and chip shops,3
E14001070,society,Foodbanks,1
E14001070,society,General Election (notional): 12 December 2019,Lab
E14001070,society,General Election: 4 July 2024,Lab
E14001070,society,Heritage at Risk: all,5
E14001070,society,Heritage at Risk: archaeology,0
E14001070,society,Heritage at Risk: building or structure,1
E14001070,society,Heritage at Risk: conservation area,0
E14001070,society,Heritage at Risk: place of worship,4
E14001070,society,MPs: Left vs Right,34.498
E14001070,society,Percentage of children affected by two-child limit,15
E14001070,society,Population,100866
E14001070,society,Population: by age,1199
E14001070,society,Population: by group,61052
E14001070,society,Post offices,8
E14001070,society,Pubs,55
E14001070,transport,Bus stops,501
E14001070,transport,Bus stops per square km,17.18
E14001070,transport,Cars or vans by household,78
E14001070,transport,EV: combined charging availability,302
E14001070,transport,EV: home charging,219
E14001070,transport,EV: workplace charging points,52
E14001070,transport,Rail cancellations,3.2
E14001070,transport,Train stations,3
E14001070,transport,Train stations per square km,0.103
E14001070,transport,Tram and metro stops,7
E14001070,transport,Tram and metro stops per square km,0.24
E14001071,economy,ATMs: total,75
E14001071,economy,Average download speeds,148.1
E14001071,economy,Below universal service obligation,0
E14001071,economy,Gigabit availability,81.2
E14001071,economy,House prices,356500
E14001071,economy,Receiving over 30 Mbps,88.8
E14001071,economy,Receiving under 10 Mbps,3
E14001071,economy,Superfast availability,98.3
E14001071,economy,Total income: median,31200
E14001071,economy,Total tax amount,416
E14001071,energy,Households off the gas grid,13.8
E14001071,environment,Ancient woodland,1.4437
E14001071,environment,Countryside and Rights of Way,0.497
E14001071,environment,Green belt: percentage,14.5
E14001071,environment,Green belt: total,2840
E14001071,society,Child poverty,27.3
E14001071,society,EU referendum using 2024 consituencies,0.5097933105
E14001071,society,Electorate,75636
E14001071,society,Fish and chip shops,8
E14001071,society,Foodbanks,2
E14001071,society,General Election (notional): 12 December 2019,Con
E14001071,society,General Election: 4 July 2024,Lab
