PCON24CD,Theme,Title,Value,rank,count
E14001063,economy,Receiving under 10 Mbps,2.7,66.0,650
E14001063,economy,Superfast availability,97.8,22.0,650
E14001063,economy,Total income: median,31400.0,68.0,650
E14001063,economy,Total tax amount,367.0,156.0,650
E14001063,energy,Households off the gas grid,9.8,217.0,632
E14001063,environment,Ancient woodland,0.2462,395.0,543
E14001063,environment,Countryside and Rights of Way,2.2679,67.0,543
E14001063,environment,Green belt: percentage,,,342
E14001063,environment,Green belt: total,,,342
E14001063,society,Child poverty,22.0,211.0,650
E14001063,society,EU referendum using 2024 consituencies,0.5786623568,207.0,632
E14001063,society,Electorate,76765.0,41.0,649
E14001063,society,Fish and chip shops,10.0,35.0,650
E14001063,society,Foodbanks,1.0,7.0,650
E14001063,society,General Election (notional): 12 December 2019,,,0
E14001063,society,General Election: 4 July 2024,,,0
E14001063,society,Heritage at Risk: all,3.0,48.0,543
E14001063,society,Heritage at Risk: archaeology,0.0,36.0,543
E14001063,society,Heritage at Risk: building or structure,2.0,15.0,543
E14001063,society,Heritage at Risk: conservation area,0.0,10.0,543
E14001063,society,Heritage at Risk: place of worship,1.0,16.0,543
E14001063,society,MPs: Left vs Right,38.425,430.0,614
E14001063,society,Percentage of children affected by two-child limit,8.0,18.0,650
E14001063,society,Population,119256.0,67.0,650
E14001063,society,Population: by age,1378.0,89.0,650
E14001063,society,Population: by group,74896.0,91.0,650
E14001063,society,Post offices,12.0,37.0,650
E14001063,society,Pubs,68.0,155.0,650
E14001063,transport,Bus stops,323.0,382.0,632
E14001063,transport,Bus stops per square km,5.65,278.0,632
E14001063,transport,Cars or vans by household,89.2,56.0,575
E14001063,transport,EV: combined charging availability,708.0,233.0,650
E14001063,transport,EV: home charging,483.0,230.0,650
E14001063,transport,EV: workplace charging points,82.0,126.0,650
E14001063,transport,Rail cancellations,2.7,53.0,632
E14001063,transport,Train stations,4.0,15.0,588
E14001063,transport,Train stations per square km,0.07,127.0,588
E14001063,transport,Tram and metro stops per square km,,,175
E14001064,economy,ATMs: total,52.0,109.0,649
E14001064,economy,Average download speeds,161.6,225.0,650
E14001064,economy,Below universal service obligation,0.0,26.0,650
E14001064,economy,Gigabit availability,89.9,72.0,650
E14001064,economy,House prices,247000.0,204.0,575
E14001064,economy,Receiving over 30 Mbps,86.5,67.0,650
E14001064,economy,Receiving under 10 Mbps,3.4,59.0,650
E14001064,economy,Superfast availability,98.6,14.0,650
E14001064,economy,Total income: median,25300.0,129.0,650
E14001064,economy,Total tax amount,218.0,280.0,650
E14001064,energy,Households off the gas grid,3.9,275.0,632
E14001064,environment,Ancient woodland,0.5639,342.0,543
E14001064,environment,Countryside and Rights of Way,2.0662,72.0,543
E14001064,environment,Green belt: percentage,57.7,70.0,342
E14001064,environment,Green belt: total,3070.0,142.0,342
E14001064,society,Child poverty,36.3,78.0,650
E14001064,society,EU referendum using 2024 consituencies,0.6789008945,37.0,632
E14001064,society,Electorate,73122.0,323.0,649
E14001064,society,Fish and chip shops,13.0,32.0,650
E14001064,society,Foodbanks,1.0,7.0,650
E14001064,society,General Election (notional): 12 December 2019,,,0
E14001064,society,General Election: 4 July 2024,,,0
E14001064,society,Heritage at Risk: all,1.0,50.0,543
E14001064,society,Heritage at Risk: archaeology,0.0,36.0,543
E14001064,society,Heritage at Risk: building or structure,0.0,17.0,543
E14001064,society,Heritage at Risk: conservation area,0.0,10.0,543
E14001064,society,Heritage at Risk: place of worship,0.0,17.0,543
E14001064,society,MPs: Left vs Right,73.239,15.0,614
E14001064,society,Percentage of children affected by two-child limit,11.0,15.0,650
E14001064,society,Population,93720.0,572.0,650
E14001064,society,Population: by age,923.0,308.0,650
E14001064,society,Population: by group,53249.0,560.0,650
E14001064,society,Post offices,10.0,39.0,650
E14001064,society,Pubs,72.0,151.0,650
E14001064,transport,Bus stops,589.0,208.0,632
E14001064,transport,Bus stops per square km,11.04,180.0,632
E14001064,transport,Cars or vans by household,89.1,57.0,575
E14001064,transport,EV: combined charging availability,627.0,272.0,650
E14001064,transport,EV: home charging,489.0,227.0,650
E14001064,transport,EV: workplace charging points,116.0,95.0,650
E14001064,transport,Rail cancellations,0.0,80.0,632
E14001064,transport,Train stations,,,588
E14001064,transport,Train stations per square km,,,588
E14001064,transport,Tram and metro stops per square km,,,175
S14000064,economy,ATMs: total,74.0,87.0,649
S14000064,economy,Average download speeds,164.0,212.0,650
S14000064,economy,Below universal service obligation,0.0,26.0,650
S14000064,economy,Gigabit availability,90.2,69.0,650
S14000064,economy,Receiving over 30 Mbps,87.3,59.0,650
S14000064,economy,Receiving under 10 Mbps,2.8,65.0,650
S14000064,economy,Superfast availability,99.0,10.0,650
S14000064,economy,Total income: median,28400.0,98.0,650
S14000064,economy,Total tax amount,254.0,245.0,650
S14000064,energy,Households off the gas grid,5.3,261.0,632
S14000064,society,Child poverty,26.6,168.0,650
S14000064,society,EU referendum using 2024 consituencies,0.4405887449,489.0,632
S14000064,society,Electorate,72265.0,381.0,649
S14000064,society,Fish and chip shops,5.0,40.0,650
S14000064,society,Foodbanks,2.0,6.0,650
S14000064,society,General Election (notional): 12 December 2019,,,0
S14000064,society,General Election: 4 July 2024,,,0
S14000064,society,MPs: Left vs Right,41.635,297.0,614
S14000064,society,Percentage of children affected by two-child limit,8.0,18.0,650
S14000064,society,Population,94391.0,547.0,650
S14000064,society,Population: by age,898.0,327.0,650
S14000064,society,Population: by group,57537.0,413.0,650
S14000064,society,Post offices,15.0,34.0,650
S14000064,society,Pubs,32.0,191.0,650
S14000064,transport,Bus stops,562.0,231.0,632
S14000064,transport,Bus stops per square km,3.34,344.0,632
S14000064,transport,EV: combined charging availability,450.0,363.0,650
S14000064,transport,EV: home charging,340.0,307.0,650
S14000064,transport,EV: workplace charging points,48.0,160.0,650
S14000064,transport,Rail cancellations,1.4,66.0,632
S14000064,transport,Train stations,2.0,17.0,588
S14000064,transport,Train stations per square km,0.012,182.0,588
S14000064,transport,Tram and metro stops per square km,,,175
E14001065,economy,ATMs: total,59.0,102.0,649
E14001065,economy,Average download speeds,156.7,246.0,650
E14001065,economy,Below universal service obligation,0.0,26.0,650
E14001065,economy,Gigabit availability,87.6,92.0,650
E14001065,economy,House prices,435000.0,70.0,575
E14001065,economy,Receiving over 30 Mbps,89.5,37.0,650
E14001065,economy,Receiving under 10 Mbps,2.3,70.0,650
E14001065,economy,Superfast availability,98.7,13.0,650
E14001065,economy,Total income: median,35200.0,37.0,650
E14001065,economy,Total tax amount,723.0,49.0,650
E14001065,energy,Households off the gas grid,7.7,237.0,632
E14001065,environment,Ancient woodland,0.3298,379.0,543
E14001065,environment,Countryside and Rights of Way,0.0,344.0,543
E14001065,environment,Green belt: percentage,51.1,89.0,342
E14001065,environment,Green belt: total,2600.0,153.0,342
E14001065,society,Child poverty,14.7,264.0,650
E14001065,society,EU referendum using 2024 consituencies,0.3837696601,552.0,632
E14001065,society,Electorate,73934.0,269.0,649
E14001065,society,Fish and chip shops,6.0,39.0,650
E14001065,society,Foodbanks,1.0,7.0,650
E14001065,society,General Election (notional): 12 December 2019,,,0
E14001065,society,General Election: 4 July 2024,,,0
E14001065,society,Heritage at Risk: all,1.0,50.0,543
E14001065,society,Heritage at Risk: archaeology,0.0,36.0,543
E14001065,society,Heritage at Risk: building or structure,0.0,17.0,543
E14001065,society,Heritage at Risk: conservation area,1.0,9.0,543
E14001065,society,Heritage at Risk: place of worship,0.0,17.0,543
E14001065,society,MPs: Left vs Right,44.053,216.0,614
E14001065,society,Percentage of children affected by two-child limit,3.0,23.0,650
E14001065,society,Population,101272.0,344.0,650
E14001065,society,Population: by age,869.0,348.0,650
E14001065,society,Population: by group,57493.0,419.0,650
E14001065,society,Post offices,10.0,39.0,650
E14001065,society,Pubs,58.0,165.0,650
E14001065,transport,Bus stops,414.0,339.0,632
E14001065,transport,Bus stops per square km,8.12,225.0,632
E14001065,transport,Cars or vans by household,90.7,41.0,575
E14001065,transport,EV: combined charging availability,1244.0,67.0,650
E14001065,transport,EV: home charging,1007.0,58.0,650
E14001065,transport,EV: workplace charging points,196.0,32.0,650
E14001065,transport,Rail cancellations,3.8,42.0,632
E14001065,transport,Train stations,3.0,16.0,588
E14001065,transport,Train stations per square km,0.059,138.0,588
E14001065,transport,Tram and metro stops per square km,0.06,51.0,175
W07000082,economy,ATMs: total,58.0,103.0,649
W07000082,economy,Average download speeds,140.7,311.0,650
W07000082,economy,Below universal service obligation,0.2,24.0,650
W07000082,economy,Gigabit availability,87.6,92.0,650
W07000082,economy,House prices,195000.0,247.0,575
W07000082,economy,Receiving over 30 Mbps,88.6,46.0,650
W07000082,economy,Receiving under 10 Mbps,3.9,54.0,650
W07000082,economy,Superfast availability,97.6,24.0,650
W07000082,economy,Total income: median,26300.0,119.0,650
W07000082,economy,Total tax amount,233.0,265.0,650
W07000082,energy,Households off the gas grid,8.8,226.0,632
W07000082,society,Child poverty,21.8,213.0,650
W07000082,society,EU referendum using 2024 consituencies,0.6025197429,150.0,632
W07000082,society,Electorate,75695.0,137.0,649
W07000082,society,Fish and chip shops,6.0,39.0,650
W07000082,society,Foodbanks,0.0,8.0,650
W07000082,society,General Election (notional): 12 December 2019,,,0
W07000082,society,General Election: 4 July 2024,,,0
W07000082,society,MPs: Left vs Right,39.742,381.0,614
W07000082,society,Percentage of children affected by two-child limit,9.0,17.0,650
W07000082,society,Population,102432.0,310.0,650
W07000082,society,Population: by age,999.0,262.0,650
W07000082,society,Population: by group,60909.0,311.0,650
W07000082,society,Post offices,15.0,34.0,650
W07000082,society,Pubs,96.0,127.0,650
W07000082,transport,Bus stops,641.0,165.0,632
W07000082,transport,Bus stops per square km,3.46,340.0,632
W07000082,transport,Cars or vans by household,89.1,57.0,575
W07000082,transport,EV: combined charging availability,497.0,333.0,650
W07000082,transport,EV: home charging,373.0,286.0,650
W07000082,transport,EV: workplace charging points,88.0,120.0,650
W07000082,transport,Rail cancellations,4.5,35.0,632
W07000082,transport,Train stations,10.0,9.0,588
W07000082,transport,Train stations per square km,0.054,142.0,588
W07000082,transport,Tram and metro stops per square km,,,175
E14001066,economy,ATMs: total,55.0,106.0,649
E14001066,economy,Average download speeds,105.7,419.0,650
E14001066,economy,Below universal service obligation,0.0,26.0,650
E14001066,economy,Gigabit availability,76.2,179.0,650
E14001066,economy,House prices,210000.0,234.0,575
E14001066,economy,Receiving over 30 Mbps,82.0,112.0,650
E14001066,economy,Receiving under 10 Mbps,3.3,60.0,650
E14001066,economy,Superfast availability,97.5,25.0,650
E14001066,economy,Total income: median,26300.0,119.0,650
E14001066,economy,Total tax amount,195.0,302.0,650
E14001066,energy,Households off the gas grid,3.0,283.0,632
E14001066,environment,Ancient woodland,0.7388,321.0,543
E14001066,environment,Countryside and Rights of Way,0.0174,281.0,543
E14001066,environment,Green belt: percentage,55.3,79.0,342
E14001066,environment,Green belt: total,6910.0,77.0,342
E14001066,society,Child poverty,33.7,101.0,650
E14001066,society,EU referendum using 2024 consituencies,0.6527087243,66.0,632
E14001066,society,Electorate,70625.0,525.0,649
E14001066,society,Fish and chip shops,29.0,16.0,650
E14001066,society,Foodbanks,0.0,8.0,650
E14001066,society,General Election (notional): 12 December 2019,,,0
E14001066,society,General Election: 4 July 2024,,,0
E14001066,society,Heritage at Risk: all,5.0,46.0,543
E14001066,society,Heritage at Risk: archaeology,1.0,35.0,543
E14001066,society,Heritage at Risk: building or structure,4.0,13.0,543
E14001066,society,Heritage at Risk: conservation area,0.0,10.0,543
E14001066,society,Heritage at Risk: place of worship,0.0,17.0,543
E14001066,society,MPs: Left vs Right,39.781,379.0,614
E14001066,society,Percentage of children affected by two-child limit,11.0,15.0,650
E14001066,society,Population,90793.0,622.0,650
E14001066,society,Population: by age,908.0,318.0,650
E14001066,society,Population: by group,53455.0,554.0,650
E14001066,society,Post offices,18.0,31.0,650
E14001066,society,Pubs,164.0,63.0,650
E14001066,transport,Bus stops,838.0,78.0,632
E14001066,transport,Bus stops per square km,6.71,256.0,632
E14001066,transport,Cars or vans by household,87.1,76.0,575
E14001066,transport,EV: combined charging availability,526.0,321.0,650
E14001066,transport,EV: home charging,401.0,266.0,650
E14001066,transport,EV: workplace charging points,78.0,130.0,650
E14001066,transport,Rail cancellations,4.4,36.0,632
E14001066,transport,Train stations,3.0,16.0,588
E14001066,transport,Train stations per square km,0.024,170.0,588
E14001066,transport,Tram and metro stops per square km,,,175
S14000065,economy,ATMs: total,81.0,80.0,649
S14000065,economy,Average download speeds,56.7,512.0,650
S14000065,economy,Below universal service obligation,2.3,7.0,650
S14000065,economy,Gigabit availability,26.4,331.0,650
S14000065,economy,Receiving over 30 Mbps,69.6,181.0,650
S14000065,economy,Receiving under 10 Mbps,9.4,14.0,650
S14000065,economy,Superfast availability,83.9,105.0,650
S14000065,economy,Total income: median,27300.0,109.0,650
S14000065,economy,Total tax amount,282.0,223.0,650
S14000065,energy,Households off the gas grid,37.7,47.0,632
S14000065,society,Child poverty,28.7,149.0,650
S14000065,society,EU referendum using 2024 consituencies,0.4521296084,476.0,632
S14000065,society,Electorate,77006.0,9.0,649
S14000065,society,Fish and chip shops,17.0,28.0,650
S14000065,society,Foodbanks,0.0,8.0,650
S14000065,society,General Election (notional): 12 December 2019,,,0
S14000065,society,General Election: 4 July 2024,,,0
S14000065,society,MPs: Left vs Right,27.331,591.0,614
S14000065,society,Percentage of children affected by two-child limit,10.0,16.0,650
S14000065,society,Population,97402.0,460.0,650
S14000065,society,Population: by age,762.0,404.0,650
S14000065,society,Population: by group,54955.0,508.0,650
S14000065,society,Post offices,28.0,21.0,650
S14000065,society,Pubs,103.0,120.0,650
S14000065,transport,Bus stops,1829.0,2.0,632
S14000065,transport,Bus stops per square km,0.33,508.0,632
S14000065,transport,EV: combined charging availability,1721.0,24.0,650
S14000065,transport,EV: home charging,1411.0,20.0,650
S14000065,transport,EV: workplace charging points,162.0,55.0,650
S14000065,transport,Rail cancellations,1.6,64.0,632
S14000065,transport,Train stations,5.0,14.0,588
S14000065,transport,Train stations per square km,0.001,193.0,588
S14000065,transport,Tram and metro stops per square km,0.0,57.0,175
S14000066,economy,ATMs: total,72.0,89.0,649
S14000066,economy,Average download speeds,152.1,265.0,650
S14000066,economy,Below universal service obligation,0.3,23.0,650
S14000066,economy,Gigabit availability,74.2,191.0,650
S14000066,economy,Receiving over 30 Mbps,84.2,90.0,650
S14000066,economy,Receiving under 10 Mbps,4.3,50.0,650
S14000066,economy,Superfast availability,94.5,53.0,650
S14000066,economy,Total income: median,27200.0,110.0,650
S14000066,economy,Total tax amount,251.0,248.0,650
S14000066,energy,Households off the gas grid,17.6,150.0,632
S14000066,society,Child poverty,27.8,156.0,650
S14000066,society,EU referendum using 2024 consituencies,0.3663648697,564.0,632
S14000066,society,Electorate,76810.0,36.0,649
S14000066,society,Fish and chip shops,13.0,32.0,650
S14000066,society,Foodbanks,0.0,8.0,650
S14000066,society,General Election (notional): 12 December 2019,,,0
S14000066,society,General Election: 4 July 2024,,,0
S14000066,society,MPs: Left vs Right,26.343,594.0,614
S14000066,society,Percentage of children affected by two-child limit,10.0,16.0,650
S14000066,society,Population,99572.0,391.0,650
S14000066,society,Population: by age,850.0,357.0,650
S14000066,society,Population: by group,56767.0,440.0,650
S14000066,society,Post offices,13.0,36.0,650
S14000066,society,Pubs,64.0,159.0,650
S14000066,transport,Bus stops,872.0,63.0,632
S14000066,transport,Bus stops per square km,2.11,405.0,632
S14000066,transport,EV: combined charging availability,393.0,401.0,650
S14000066,transport,EV: home charging,264.0,364.0,650
S14000066,transport,EV: workplace charging points,46.0,162.0,650
S14000066,transport,Rail cancellations,3.0,50.0,632
S14000066,transport,Train stations,7.0,12.0,588
S14000066,transport,Train stations per square km,0.017,177.0,588
S14000066,transport,Tram and metro stops per square km,,,175
S14000067,economy,ATMs: total,77.0,84.0,649
S14000067,economy,Average download speeds,53.1,514.0,650
S14000067,economy,Below universal service obligation,4.2,1.0,650
S14000067,economy,Gigabit availability,13.0,337.0,650
S14000067,economy,Receiving over 30 Mbps,68.0,183.0,650
S14000067,economy,Receiving under 10 Mbps,9.7,12.0,650
S14000067,economy,Superfast availability,82.6,106.0,650
S14000067,economy,Total income: median,28900.0,93.0,650
S14000067,economy,Total tax amount,267.0,237.0,650
S14000067,energy,Households off the gas grid,59.7,6.0,632
S14000067,society,Child poverty,23.1,201.0,650
S14000067,society,EU referendum using 2024 consituencies,0.3953574555,538.0,632
S14000067,society,Electorate,71707.0,425.0,649
S14000067,society,Fish and chip shops,15.0,30.0,650
S14000067,society,Foodbanks,6.0,2.0,650
S14000067,society,General Election (notional): 12 December 2019,,,0
S14000067,society,General Election: 4 July 2024,,,0
S14000067,society,MPs: Left vs Right,34.326,542.0,614
S14000067,society,Percentage of children affected by two-child limit,8.0,18.0,650
S14000067,society,Population,91155.0,619.0,650
S14000067,society,Population: by age,631.0,454.0,650
S14000067,society,Population: by group,51280.0,600.0,650
S14000067,society,Post offices,82.0,1.0,650
S14000067,society,Pubs,124.0,99.0,650
S14000067,transport,Bus stops,1510.0,8.0,632
S14000067,transport,Bus stops per square km,0.17,513.0,632
S14000067,transport,EV: combined charging availability,625.0,273.0,650
S14000067,transport,EV: home charging,362.0,294.0,650
S14000067,transport,EV: workplace charging points,96.0,112.0,650
S14000067,transport,Rail cancellations,2.2,58.0,632
S14000067,transport,Train stations,15.0,4.0,588
S14000067,transport,Train stations per square km,0.002,192.0,588
S14000067,transport,Tram and metro stops per square km,,,175
E14001067,economy,ATMs: total,27.0,133.0,649
E14001067,economy,Average download speeds,85.6,470.0,650
E14001067,economy,Below universal service obligation,0.8,18.0,650
E14001067,economy,Gigabit availability,37.2,318.0,650
E14001067,economy,House prices,490000.0,49.0,575
E14001067,economy,Receiving over 30 Mbps,77.2,152.0,650
E14001067,economy,Receiving under 10 Mbps,4.9,44.0,650
E14001067,economy,Superfast availability,91.7,75.0,650
E14001067,economy,Total income: median,31300.0,69.0,650
E14001067,economy,Total tax amount,620.0,67.0,650
E14001067,energy,Households off the gas grid,33.5,62.0,632
E14001067,environment,Ancient woodland,13.1611,9.0,543
E14001067,environment,Countryside and Rights of Way,0.8471,114.0,543
E14001067,environment,Green belt: percentage,0.0,258.0,342
E14001067,environment,Green belt: total,0.0,257.0,342
E14001067,society,Child poverty,23.1,201.0,650
E14001067,society,EU referendum using 2024 consituencies,0.4874668692,417.0,632
E14001067,society,Electorate,76974.0,15.0,649
E14001067,society,Fish and chip shops,11.0,34.0,650
E14001067,society,Foodbanks,0.0,8.0,650
E14001067,society,General Election (notional): 12 December 2019,,,0
E14001067,society,General Election: 4 July 2024,,,0
E14001067,society,Heritage at Risk: all,13.0,38.0,543
E14001067,society,Heritage at Risk: archaeology,5.0,31.0,543
E14001067,society,Heritage at Risk: building or structure,2.0,15.0,543
E14001067,society,Heritage at Risk: conservation area,1.0,9.0,543
E14001067,society,Heritage at Risk: place of worship,4.0,13.0,543
E14001067,society,MPs: Left vs Right,69.288,39.0,614
